title,authors,formats,isbn,published_year
An Offer From a Gentleman,Julia Quinn,,9780380815586,2001
"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,,,2000
The Duke and I,Julia Quinn,,9780063142121,
"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,,349429456,2002
Harry Potter and the Half-Blood Prince,J. K. Rowling,,439784549,2024
Harry Potter and the Deathly Hallows,J. K. Rowling,,545010225,2024
Harry Potter and the Goblet of Fire,J. K. Rowling,"azw3, epub",439139597,2024
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,"azw3, epub",043965548X,2024
"Lucifers kjærlighet (Sagaen om Isfolket, #29)",Margit Sandemo,,8250917995,1986
Stille før stormen,Diana Gabaldon,,8250921380,2023
Demonens Fjell,Margit Sandemo,,9788250921009,1988
Skjulte spor,Diana Gabaldon,,8250920198,2023
Fanget av tiden,Margit Sandemo,,8250920686,2023
Rop av stumme røster,Margit Sandemo,,8250920384,2023
Kvinnen på stranden,Margit Sandemo,,8250919173,2023
Sagaen om Isfolket 35 - Vandring i mørket,Margit Sandemo,,9788251679923,2018
Trolllmåne,Margit Sandemo,,9788250919686,1987
Skrekkens,Margit Sandemo,,9788251679947,2023
Nattens demon,Margit Sandemo,,8250918967,2023
"Fergemannen (Sagaen om Isfolket, #31)",Diana Gabaldon,,8250918479,2022
Hunger,Margit Sandemo,,8250918770,2023
"Utysket (Sagaen om Isfolket, #30)",Margit Sandemo,,8250918215,1986
"Skandalen (Sagaen om Isfolket, #27)",Margit Sandemo,,8250917294,1986
"Is og ild (Sagaen om Isfolket, #28)",Margit Sandemo,,8250917510,1986
"Engel med svarte vinger (Sagaen om Isfolket, #25)",Margit Sandemo,,8250916638,1985
"I jordens dyp (Sagaen om Isfolket, #24)",Margit Sandemo,,8250916344,1985
Sagaen om Isfolket 26 - Huset i Eldafjord,Margit Sandemo,,9788251679831,1985
"Våroffer (Sagaen om Isfolket, #23)",Margit Sandemo,,8250916166,1985
Djevelkløften,Margit Sandemo,,9788250915657,1985
"Ravnens vinger (Sagaen om Isfolket, #20)",Margit Sandemo,,8250915445,2021
"Dragens tenner (Sagaen om Isfolket, #19)",Margit Sandemo,,8250914856,1984
Dødens Hage,Margit Sandemo,,9788250917842,1984
"Bak fasaden (Sagaen om Isfolket, #18)",Margit Sandemo,,8250915100,1984
"Galgeblomsten (Sagaen om Isfolket, #16)",Margit Sandemo,,8250915089,1984
Sagaen om Isfolket 15 - Vinden fra øst,Margit Sandemo,,9788251679725,2018
"Den siste ridder (Sagaen om Isfolket, #14)",Margit Sandemo,,8250915062,2021
Feber i blodet (Sagaen om Isfolket #12),Margit Sandemo,,8250917790,2021
"Satans fotspor (Sagaen om Isfolket, #13)",Margit Sandemo,,8250915054,2021
Sagaen om Isfolket 11 - Blodhevn,Margit Sandemo,,9788251679688,2018
Sagaen om Isfolket 10 - Vinterstorm,Margit Sandemo,,9788251679671,1983
Den ensomme,Margit Sandemo,,8250917766,2021
Bøddelens datter,Margit Sandemo,,8250917669,2021
"Spøkelsesslottet (Sagaen om Isfolket, #7)",Diana Gabaldon,,8250917650,2021
Den onde arven,Margit Sandemo,,8250917731,2021
Dødssynden,Margit Sandemo,,8250917723,2021
Sagaen om Isfolket,Margit Sandemo,,9788251679619,1982
Avgrunnen,Margit Sandemo,,8250917715,2021
"Heksejakten (Sagaen om Isfolket, #2)",Margit Sandemo,,8250917707,2021
"Trollbundet (Sagaen om Isfolket, #1)",Margit Sandemo,,8250911385,2021
A Court of Frost and Starlight,Sarah J. Maas,,1635575621,2022
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,,168119628X,2022
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,,1635575605,2022
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,,1635575583,2022
A Court of Thorns and Roses,Sarah J. Maas,,9798885797085,2015
Hidden Bodies,Caroline Kepnes,,9781471192647,
You Love Me,Caroline Kepnes,,9781471191886,
Løgnere,Trude Teige,epub,8203395279,2022
Svik,Trude Teige,epub,9788203352614,2012
Jenta som sluttet å snakke,Trude Teige,,8203357660,2014
Pasienten,Trude Teige,,8203362400,2017
Noen vet,Trude Teige,epub,8252573169,2009
Aldri tilgi,Trude Teige,,8203364799,
En hjelpende hånd,Trude Teige,epub,8203198139,2010
A Dance With Dragons,George R.R. Martin,,9780553385953,2020
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,,,1997
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,,440238153,2000
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,,679879242,1995
Go Tell the Bees That I Am Gone,Diana Gabaldon,,385685548,2023
An Echo in the Bone,Diana Gabaldon,,752898477,2023
A Breath of Snow and Ashes,Diana Gabaldon,,385340397,2006
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,,525618732,2020
"The Fiery Cross (Outlander, #5)",Diana Gabaldon,,440221668,2020
"Voyager (Outlander, #3)",Diana Gabaldon,,385335997,1993
"Outlander (Outlander, #1)",Diana Gabaldon,,440242940,2019
Written In My Own Heart's Blood,Diana Gabaldon,,385344430,2023
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,,,2019
If You Tell,Gregg Olsen,"azw3, epub",1542005248,2019
Slaveskipet Fredensborg: Og Den Dansk-Norske Slavehandel På 1700-Tallet,Leif Svalesen,,9788202154813,1996
Det Vi Ikke Sa,"Ahlam Khalil, Hanne Aardal, Isabel Raad",,9781520532646,2017
The Phoenix Crown,"Kate Quinn,Janie Chang",,9780063304734,2024
The Diamond Eye,Kate Quinn,,62943510,2024
The Huntress,Kate Quinn,,,2019
The Alice Network,Kate Quinn,,,2017
The Queen’s Gambit,Tevis Walter,,1400030609,2024
The Rose Code,Kate Quinn,,62943472,2024
Pulskuren,Torkil Fære,,9788202750732,2024
Beyond the Wand: The Magic & Mayhem of Growing Up a Wizard,Tom Felton,,1538741369,2022
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,,9780735211292,2018
Abida Raja: Frihetens Øyeblikk,"Abida Raja, Håkon F. Høydal",,9788272017261,2022
I'm Glad My Mom Died,Jennette McCurdy,,,2022
November 9,Colleen Hoover,,1501110349,2015
Skammerens datter,Lene Kaaberbøl,,9788755333147,2004
Min Skyld - en Historie Om Frigjøring,Abida Raja,,9788202713461,2022
The Christie Affair,Nina de Gramont,,9781529054200,2022
Herrene sendte oss hit: om tvangsflyttingen av samene,Elin Anna Labba,,9788253043371,2022
"Secrets for the Mad: Obsessions, Confessions and Life Lessons",Dodie Clark,,9781785036804,
Her,Pierre Alex Jeanty,"azw3, epub",9780997426588,2017
All The Things I Never Said,Mae Krell,"azw3, epub",9781493733583,2015
Broken Wishbones and Empty Spaces,Pyrokardia,"azw3, epub",9781539668152,2017
"Egghead: Or, You Can't Survive on Ideas Alone",Bo Burnham,"azw3, epub",9781455519125,2013
Forbilde,Sophie Elise Isachsen,,8202511674,2016
Hver Gang Du Forlater Meg,Linnéa Myrhe,,9788210055072,2024
milk and honey,Rupi Kaur,"azw3, epub",1502784270,2014
Whiskey Words & a Shovel I,r.h. Sin,"azw3, epub",9781449488062,2017
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,,,2016
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,1501139231,2017
Men du ser ikke syk ut,Ragnhild Holmås,,9788202617837,2020
Punk 57,Penlope Douglas,"azw3, epub",9781543644548,2016
The Song of Achilles,Madeline Miller,,,2011
Omgitt av idioter,Thomas Erikson,,820550945X,2014
Tante Ulrikkes vei,Zeshan Shakar,epub,8205509352,2017
Educated,Zip Reads,,9781794278714,2019
To søstre,Åsne Seierstad,epub,9788248918233,2016
Elsk meg,Sophie Elise Isachsen,epub,9788202559076,2018
Hvorfor stemmer russerne på Putin?,Bernhard L. Mohr,,9788202514259,2020
Den største forbrytelsen,Marte Michelet,,9788205470439,
"Meg, Meg, Meg",Linnéa Myrhe,,9788210057281,2018
Normal People,Perfection Learning Corporation,,9781663607645,2019
Størst av alt,Malin Persson Giolito,epub,9788252587470,2016
Norse Mythology,Neil Geiman,,9781663606242,2019
Big Little Lies,Liane Moriarty,"azw3, epub",399587195,2014
Shirog: jenta jeg en gang var,"Isabel Raad, Kjersti Kvam",,9788242962195,
Unorthodox: The Scandalous Rejection of My Hasidic Roots,Deborah Feldman,"azw3, epub",,2012
Bokhandleren I Kabul,Åsene Seierstad,epub,9788202220822,2002
How Democracies Die,Steven Levitsky & Daniel Ziblatt,,9781524762933,
Sjarmen Med Tarmen,Guila Enders,,9788202597658,2014
Frisk Nok - Håndbok I Immunforsvar,Anne Sparkland,,9788243013766,2021
The Four Winds,Kristin Hannah,,9781250178619,2024
Bride,Ali Hazelwood,,593641035,2024
The Briar Club,Kate Quinn,,63244748,2024
Before We Were Yours,Lisa Wingate,,9781432877583,
Yang Tertinggal Darinya (Reminders of Him),Colleen Hoover,"azw3, epub",9786020677835,2024
Why We Sleep,Matthew Walker,,9781501144318,2017
Wild Is the Witch,Rachel Griffin,,9781728268859,2022
Where the Crawdads Sing,Delia Owens,,9780735219113,
Once There Were Wolves,Charlotte McConaghy,,9781250244154,
Hour of the Witch,Chris Bohjalian,,9780385542432,
Yello Wife,Sadeqa Johnson,,,2021
Kongen forteller,"Harald Stanghelle, Harald V",,9788248927228,
She Who Became the Sun,Shelley Parker-Chan,,9781250621795,
Clarity & Connection,Yung Pueblo,,9781524860486,
shine your icy crown,Amanda Lovelace,,,
I Hope This Finds You Well: Poems,Kate Baer,,9781398706781,
The Comfort Book,Matt Haig,,9780143136668,
Apples Never Fall,Liane Moriarty,,1250220254,2021
The Paper Palace,Miranda Cowley Heller,,9780241470718,
The Reading List,Sara Nisha Adams,,9780063025301,
The Hating Game,Sally Thorne,,9780349414249,
Reputation,Lex Croucher,,9781250832849,
The Midnight Library,Matt Haig,,9780525559481,
"Everything, Everything",Nicola Yoon,,9780553496673,
The Girls I've Been,Tess Sharpe,"azw3, epub",9780593353806,2021
The Subtle Art of Not Giving a Fck: A Counterintuitive Approach to Living a Good Life,Mark Manson,,,2016
Home Body,Rupi Kaur,,1982172452,2020
Klara and the Sun,Kazuo Ishiguro,,059331817X,2021
The Kindest Lie,Nancy Johnson,,9780063005655,
The Unexpected Joy of the Ordinary,Catherine Gray,,9781783253647,
Who Killed My Father,Édouard Louis,,9780811228503,
We Were Liars,E. Lockhart,,9781471403989,
"Red, White & Royal Blue",Casey McQuiston,,9781035007417,
They Both Die at the End,Adam Silvera,,9780062457806,
Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,,316478520,2019
The Switch,Beth O'Leary,,9781787475014,
The Life-Changing Magic of Tidying Up,Marie Kondo,,,
The Tipping Point,Malcolm Gladwell,,9780316346627,
All Adults Here,Emma Straub,,9781594634697,
We Should All Be Feminists,Chimamanda Ngozi Adichie,,9780008115272,
Born a Crime: Stories From a South African Childhood,Trevor Noah,,9780399588181,
"My Sister, the Serial Killer",Oyinkan Braithwaite,,9781786495983,
Paris Never Leaves You,Ellen Feldman,,1250622778,2020
Anxious People,Fredrik Backman,,198216963X,2019
Because You’re Mine,Claire Contreras,,,2018
The Unexpected Joy of Being Single,Catherine Gray,,9781783253135,
The Handmaid's Tale,Margaret Atwood,"azw3, epub",9780099740919,1985
Children of Dune,Frank Herbert,"azw3, epub",1440630518,1976
"Short Stories From Hogwarts of Power, Politics and Pesky Poltergeists",J. K. Rowling,"azw3, epub",9781781106297,2016
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"azw3, epub",1649374178,2023
Mirage,Somaiya Daud,,9781250126429,2018
Her Body and Other Parties: Stories,Carmen Maria Machado,,155597788X,2017
"Fall of Giants (The Century Trilogy, #1)",Ken Follett,"azw3, epub",525951652,2010
The Pillars of the Earth,Ken Follett,,9780451222138,1989
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,,385536976,2013
An American Marriage,Tayari Jones,,9781616201340,2018
The Unraveling of Luna Forester,Marisa Noelle,,9781916893221,2021
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"azw3, epub",1368052401,2020
"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,,1408883457,2019
"A Darker Shade of Magic (Shades of Magic, #1)",Victoria E. Schwab,,765376458,2015
Beach Read,Emily Henry,,,2020
People We Meet on Vacation,Emily Henry,,1984806750,2021
It Started With a Book,Camilla Isley,,1837519846,2024
Accepting Agatha,Victoria Blue,,9781642633986,2024
House of Hollow,Krystal Sutherland,,059311034X,2021
The Iliad,Homer,"azw3, epub",140275363,
Macbeth,William Shakespeare,,998809101,
"The Raven King (All for the Game, #2)",Nora Sakavic,,1301824291,2013
People Like Us,Dana Mele,,1524741701,2018
The Scarlet Letter: (Penguin Classics Deluxe Edition),Nathaniel Hawthorne,"azw3, epub",9781101109021,2009
Wilder Girls,Rory Power,,9780525645580,2019
The Raven and Other Poems,Edgar Allan Poe,,439224063,1845
"These Violent Delights (These Violent Delights, #1)",Chloe Gong,,1534457690,2020
To Kill a Mockingbird (Pulitzer Prize Winner),Harper Lee,,9780060935467,2005
The Odyssey,Homer,,143039954,
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,,,2001
Ace of Spades,Faridah Àbíké-Íyímídé,,9781474967532,2021
A Discovery of Witches,Deborah Harkness,,670022411,2011
The Bell Jar,Sylvia Plath,,553143840,1963
The Historian,Elizabeth Kostova,,,2005
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,,,2011
Wuthering Heights,Emily Brontë,"azw3, epub",9781542047654,1847
Atlas Six,Olivie Blake,,9781250854544,2022
Dead Poets Society,N.H. Kleinbaum,,553282980,1988
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,"azw3, epub",545424925,2012
The Love Hypothesis,Ali Hazelwood,"azw3, epub",1408725754,2021
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,,670069019,2005
The Thursday Murder Club,Richard Osman,,9781984880987,2020
"The Hypnotist (Joona Linna, #1)",Lars Kepler,,374173958,2009
Restless Stars,Caroline Peckham & Susanne Valenti,,9781916926172,2024
Sorrow and Starlight,Caroline Peckham & Susanne Valenti,,9781914425592,2022
Heartless Sky,Caroline Peckham & Susanne Valenti,"azw3, epub",9781916926097,2025
Shadow Princess,Caroline Peckham & Susanne Valenti,,9781916926066,2021
Cursed Fates,Caroline Peckham & Valenti,,9781914425073,2021
The Reckoning,Peckham & Caroline Peckham & Susanne Valenti,,9781916926301,2025
Ruthless Fae,Caroline Peckham & Susanne Valenti,,9781916926295,2025
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly Jackson,,1405293187,2019
How to Kill Your Family,Bella Mackie,,,2021
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,,,2020
Energityvene,Torkil Berge & Lars Dehli & Elin Fjerstad,,9788203294808,2014
Chicks o'hoi,A. N. P.,epub,9788248919667,2017
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,,316322407,2012
Shirog: jenta jeg en gang var,Isabel Raad,epub,9788242962195,2018
"Me Before You (Me Before You, #1)",Jojo Moyes,"azw3, epub",,2012
"Skrekkens by (Sagaen Om Isfolket, #37)",Margit Sandemo,,8250919920,1987
Trollmåne,Margit Sandemo,,9788250919686,1987
Vandring I Mørket,Margit Sandemo,,9788250919419,1987
"Huset I Eldafjord (Sagaen Om Isfolket, #26)",Margit Sandemo,,8250916891,1985
Dødens Have,Margit Sandemo,,9788250917842,1984
Vinden Fra Øst,Margit Sandemo,,8250915070,1984
Blodhevn,Margit Sandemo,,8250915038,1983
Vinterstorm,Margit Sandemo,,8250915011,1983
Lengsel,Margit Sandemo,,9788250917682,1982
Haunting Adeline,H. D. Carlton,,9781957635101,2021
The Wide Window,Lemony Snicket & Michael Kupperman,,9780064407687,2000
"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,,,1999
The Bad Beginning,Lemony Snicket,,9780439227582,1999
Of Mice and Men,John Steinbeck,,142000671,1937
"Steelheart (The Reckoners, #1)",Brandon Sanderson,,385743564,2013
"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,,031670704X,2020
Breaking Dawn,Stephenie Meyer,,9780316067928,2008
"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",Stephenie Meyer,,031612558X,2009
Eclipse,Stephenie Meyer,,9780316160209,2007
"New Moon (The Twilight Saga, #2)",Stephenie Meyer,,,2006
Twilight,Stephenie Meyer,,9780316015844,2005
Never Let Me Go,Kazuo Ishiguro,,,2005
"Fire & Blood (A Targaryen History, #1)",George R.R. Martin,,152479628X,2018
The Winds of Winter,George R. R. Martin,,9780002247412,
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"azw3, epub",055358202X,2005
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"azw3, epub",055357342X,2000
A Clash of Kings,George R. R. Martin,,9780553381696,1998
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"azw3, epub",553588486,1996
Uglies,Scott Westerfeld,,9781665940658,2005
Yellowface,R. F. Kuang,,9780008532772,2023
Da Vi Var Yngre,Oliver Lovrenski,,8203450113,2023
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,,641587716,2002
Book Lovers,Emily Henry,,9780593334843,2022
The Letters of Vincent Van Gogh,Vincent van Gogh,,140446745,1914
The Catcher in the Rye,J.D. Salinger,,316769177,1951
The Year of Magical Thinking,Joan Didion,,9781400078431,2005
These Violent Delights,Micah Nemerever,,62963635,2020
Homo Deus: A History of Tomorrow,Yuval Noah Harari,,,2015
Sense and Sensibility,Jane Austen,,9781912714049,1811
"The Silence of the Girls: A Retelling of the Classic Greek Myth, Troy, From the Booker Prize-Winning Author of Regeneration",Pat Barker,,9780241983218,2018
Anna Karenina,Leo Tolstoy,,,1878
The Fellowship of the Ring,J. R. R. Tolkien,,9780547928210,1954
"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,,,1937
Norwegian Wood,Haruki Murakami,,375704027,1987
Cleopatra and Frankenstein,Coco Mellors,,1635576814,2022
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather Morris,,006287067X,2018
Malibu Rising,Taylor Jenkins Reid,,1524798657,2021
Lolita,Vladimir Nabokov,,9780141193670,1955
"Beautiful World, Where Are You",Sally Rooney,,571365442,2021
Conversations With Friends,Sally Rooney,,9780451499073,2017
De Kaller Meg Ulven,Zeshan Shakar,,8205566380,2022
Gul Bok,Zeshan Shakar,,8205538212,2020
The Metamorphosis,Franz Kafka,"azw3, epub",,1915
The Picture of Dorian Gray,Oscar Wilde,"azw3, epub",,1890
Pride and Prejudice,Jane Austen,"azw3, epub",9781503290563,1813
The Diary of a Young Girl,Anne Frank,,9780385480338,1952
Sapiens: A Brief History of Humankind,Yuval Noah Harari,,9780062316110,2018
Charlie and the Great Glass Elevator,Roald Dahl & Quentin Blake,,9780142404126,1972
Charlie and the Chocolate Factory,Roald Dahl,,9780142410318,1964
Crime and Punishment,Fyodor Dostoevsky,"azw3, epub, mobi",,1866
The Alchemist,Paulo Coelho,,9780062315007,1993
My Dark Vanessa,Kate Elizabeth Russell,,006294150X,2020
The Great Gatsby,F. Scott Fitzgerald,,9781847492586,1925
Nineteen Eighty Four,George Orwell,,9780141036144,2008
The Goldfinch,Donna Tartt,,316055425,2013
Animal Farm,George Orwell,,451526341,1945
My Year of Rest and Relaxation,Ottessa Moshfegh,,525522131,2018
The Curious Case of Benjamin Button,F. Scott Fitzgerald,,9781416556053,1922
The Trial,Franz Kafka,,805209999,1925
The Tailor,Leigh Bardugo,,,2013
Demon in the Wood,Leigh Bardugo & Dani Pendergast,,9781250624642,2022
"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,"azw3, epub",1510109188,2021
"King of Scars (King of Scars, #1)",Leigh Bardugo,"azw3, epub",125014227X,2019
Six of Crows,Leigh Bardugo,,9781250076960,2015
"The Book That Wouldn’t Burn (The Library Trilogy, #1)",Mark Lawrence,,593437918,2023
"The Right Thing to Do (Rights and Wrongs, #1)",LovesBitca8,,,
Draco Malfoy and the Mortifying Ordeal of Being in Love,isthisselfcare,,,2021
"The Book of Azrael (Gods and Monsters, #1)",Amber V. Nicole,,,2022
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,,375826696,2002
Murder on the Orient Express,Agatha Christie,,9780007119318,1934
Elektra,Jennifer Saint,,125077361X,2022
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,,1423113381,2010
Wrath of the Triple Goddess,Rick Riordan,,9781368113946,2024
"The Chalice of the Gods (Percy Jackson and the Olympians, #6)",Rick Riordan,,1368098177,2023
The Last Olympian,Rick Riordan,,9781423101475,2008
The Battle of the Labyrinth,Rick Riordan,,9781423101499,2008
Percy Jackson and the Titan's Curse,Rick Riordan,,9780141919133,2008
The Sea of Monsters,Rick Riordan,,9780120000319,2006
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,,62085506,2011
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,,,2019
A Shadow in the Ember,Jennifer L. Armentrout,,9781952457494,2021
A Soul of Ash and Blood,Jennifer L. Armentrout,"azw3, epub",1957568461,2023
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J. K. Rowling & Jack Thorne & John Tiffany,,9781781105528,2017
Kvitleik,Jon Fosse,,9788234009815,2023
The Creative Act: A Way of Being,Rick Rubin,,9780593652886,2023
The Pumpkin Spice Café,Laurie Gilmore,,9780008759827,2023
James: A Novel,Percival Everett,,9780385550376,2024
The Virgin Suicides,Jeffrey Eugenides,,9780747560593,1993
The Boyfriend,Freida McFadden,,1728296226,2024
City of Lost Souls,Cassandra Clare,,9781442416864,2012
City of Fallen Angels,Cassandra Clare,,9781442403543,2010
City of Ashes,Cassandra Clare,,9781416914297,2008
City of Glass,Cassandra Clare,,9781416914303,2009
City of Bones,Cassandra Clare,,9781416914280,2007
The Book Thief,Markus Zusak,mobi,,2005
All the Bright Places,Jennifer Niven,,9780385755900,2015
Vicious,V. E. Schwab,,9781250183507,2013
A Thousand Splendid Suns,Khaled Hosseini,,1594489505,2007
The Kite Runner,Khaled Hosseini,,,2003
Finlay Donovan Is Killing It,Elle Cosimano,,9781250241702,2021
What My Bones Know: A Memoir of Healing From Complex Trauma,Stephanie Foo,,9780593238103,2022
Full Spredning,Nina Lykke,,824952151X,2019
Mors og fars historie,Edvard Hoem,,9788249505142,2007
What I Talk About When I Talk About Running,Haruki Murakami,,9781448103737,2007
Sjur Gabriel (Hellemyrsfolket #1),Amalie Skram,,,1887
Karens Jul,Amalie Skram,,8283191357,1885
The Old Man and the Sea,Ernest Hemingway,,684830493,1952
Hva Hun Klager Over Når Hun Klager Over Husarbeidet,Heidi Linde,,8205539294,2020
Femten År. Den Revolusjonære Våren,Vigdis Hjorth,,9788202762735,2022
Er mor død,Vigdis Hjorth,,9788202671822,2020
Arv og miljø,Vigdis Hjorth,,9788202512736,2016
Gjentakelsen,Vigdis Hjorth,,9788202801328,2023
En moderne familie,Helga Flatland,,9788203362361,2017
"Min Kamp 1 (Min Kamp, #1)",Karl Ove Knausgård,,8252574580,2009
"Bienes Historie (Klimakvartetten, #1)",Maja Lunde,epub,8203359353,2015
Fuglane,Tarjei Vesaas,,8205367078,1957
Liv andre har levd,Edvard Hoem,"epub, mobi",9788249518883,2017
"Hekneveven (Hekne, #2)",Lars Mytting,,8205539057,2020
Skråpånatta,Lars Mytting,,8205569797,2023
"Poverty, by America",Matthew Desmond,,9780593239919,2023
The Radium Girls: The Dark Story of America’s Shining Women,Kate Moore,,149264935X,2016
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"azw3, epub",,2019
None of This Is True,Lisa Jewell,,1982179007,2023
How to Keep House While Drowning,Kc Davis Lpc,,9781668002858,2022
Outlive: The Science & Art of Longevity,Peter Attia & Bill Gifford,,9780593236598,2023
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,,670785938,2014
Cultish: The Language of Fanaticism,Amanda Montell,,62993151,2021
The Psychology of Money,Morgan Housel,,857197681,2020
The Hundred Years' War on Palestine,Rashid Khalidi,,1250787653,2020
Maybe You Should Talk to Someone,Lori Gottlieb,,1328662055,2019
Educated,Tara Westover,,,2018
Crying in H Mart,Michelle Zauner,,9780525657743,2021
The Cruel Prince,Holly Black,,9780316310284,2018
"Icebreaker (UCMH, #1)",Hannah Grace,,,2022
Mexican Gothic,Silvia Moreno-Garcia,,,2020
I Who Have Never Known Men,Jacqueline Harpman,,152911179X,1995
This Is How You Lose the Time War,Amal El-Mohtar & Max Gladstone,,9781534430990,2019
Manacled,SenLinYu,,,2000
Circe,Madeline Miller,,316556343,2018
Babel,R. F. Kuang,,9780063021426,2022
Bright Young Women,Jessica Knoll,,1501153226,2023
Rock Paper Scissors,Alice Feeney,,9781250266101,2021
"The Maid (Molly the Maid, #1)",Nita Prose,,,2022
